,full name,abbreviation,price,marketcap
0,NULS,NULS,$0.2344,$23.31 M
1,Metahero,HERO,$0.004674,$23.38 M
2,Hathor,HTR,$0.09725,$23.22 M
3,Bankera,BNK,$0.0009311,$23.18 M
4,Kin,KIN,$0.00001163,$23.11 M
5,Presearch,PRE,$0.05895,$23.06 M
6,Contentos,COS,$0.005697,$23.16 M
7,Venus ETH,vETH,$11.33,$23.04 M
8,Venus XVS,vXVS,$0.1024,$22.99 M
9,Phantasma,SOUL,$0.231,$23.02 M
10,Pitbull,PIT,$0.000000000565,$22.91 M
11,DXdao,DXD,$464.29,$22.9 M
12,Wilder World,WILD,$0.2512,$22.67 M
13,MANTRA,OM,$0.04282,$22.71 M
14,Cortex,CTXC,$0.1111,$22.57 M
15,TerraClassicKRW,KRTC,$0.0005765,$22.56 M
16,TrustSwap,SWAP,$0.2229,$22.54 M
17,AirSwap,AST,$0.1294,$22.53 M
18,StaFi,FIS,$0.3713,$22.41 M
19,Kleros,PNK,$0.02906,$22.3 M
20,Hydra,HYDRA,$2.57,$22.12 M
21,Aragon Court,ANJ,$0.1722,$22.15 M
22,Chimpion,BNANA,$0.8043,$25.52 M
23,VerusCoin,VRSC,$0.3151,$22.43 M
24,OpenDAO,SOS,$0.0000002177,$21.75 M
25,DxChain Token,DX,$0.0004144,$21.76 M
26,TokenPocket,TPT,$0.00613,$21.62 M
27,Solend,SLND,$0.7824,$21.77 M
28,LATOKEN,LA,$0.0539,$21.42 M
29,Waltonchain,WTC,$0.2705,$21.58 M
30,Argentine Football Association Fan Token,ARG,$6.10,$21.62 M
31,Beam,BEAM,$0.1704,$21.47 M
32,Tranchess,CHESS,$0.2638,$21.36 M
33,PlatON,LAT,$0.007237,$21.5 M
34,Clearpool,CPOOL,$0.07312,$21.37 M
35,MAP Protocol,MAP,$0.009987,$21.3 M
36,Shiba Predator,QOM,$0.00000003435,$21.14 M
37,LeverFi,LEVER,$0.001656,$21.41 M
38,Saito,SAITO,$0.01981,$21.03 M
39,Assemble Protocol,ASM,$0.01752,$21.14 M
40,VIDT Datalink,VIDT,$0.4277,$20.87 M
41,Handy,HANDY,$0.03617,$20.83 M
42,MILC Platform,MLT,$0.1662,$20.83 M
43,QuickSwap,QUICK,$64.39,$20.66 M
44,RIZON,ATOLO,$0.01082,$20.68 M
45,Alethea Artificial Liquid Intelligence Token,ALI,$0.01299,$20.48 M
46,FC Barcelona Fan Token,BAR,$4.54,$20.42 M
47,Battle World,BWO,$0.3598,$19.95 M
48,AhaToken,AHT,$0.005827,$20.24 M
49,DeversiFi,DVF,$0.8436,$20.26 M
